N,0*Qc(i),1*Qc(i-1),2*Qc(i-2),3*Qc(i-3),4*Qc(i-4),5*Qk(i),6*Qk(i-1),7*Qk(i-2),8*Qk(i-3),9*Qk(i-4),10*Qk(i+1)
5,220.188,235.496,259.192,288.734,340.8,173.59,194.995,226.186,271.145,355.294,152.432
6,194.351,220.188,235.496,259.192,288.734,152.432,173.59,194.995,226.186,271.145,129.349
7,174.615,194.351,220.188,235.496,259.192,129.349,152.432,173.59,194.995,226.186,110.649
8,170.428,174.615,194.351,220.188,235.496,110.649,129.349,152.432,173.59,194.995,99.621
9,167.237,170.428,174.615,194.351,220.188,99.621,110.649,129.349,152.432,173.59,91.982
10,157.458,167.237,170.428,174.615,194.351,91.982,99.621,110.649,129.349,152.432,85.225
11,143.588,157.458,167.237,170.428,174.615,85.225,91.982,99.621,110.649,129.349,82.576
12,139.744,143.588,157.458,167.237,170.428,82.576,85.225,91.982,99.621,110.649,82.614
13,138.007,139.744,143.588,157.458,167.237,82.614,82.576,85.225,91.982,99.621,85.8
14,128.446,138.007,139.744,143.588,157.458,85.8,82.614,82.576,85.225,91.982,82.469
15,118.209,128.446,138.007,139.744,143.588,82.469,85.8,82.614,82.576,85.225,75.02
16,108.747,118.209,128.446,138.007,139.744,75.02,82.469,85.8,82.614,82.576,70.997
17,105.554,108.747,118.209,128.446,138.007,70.997,75.02,82.469,85.8,82.614,67.477
18,107.075,105.554,108.747,118.209,128.446,67.477,70.997,75.02,82.469,85.8,63.696
19,101.663,107.075,105.554,108.747,118.209,63.696,67.477,70.997,75.02,82.469,60.682
20,89.944,101.663,107.075,105.554,108.747,60.682,63.696,67.477,70.997,75.02,56.812
21,80.47,89.944,101.663,107.075,105.554,56.812,60.682,63.696,67.477,70.997,52.172
22,69.344,80.47,89.944,101.663,107.075,52.172,56.812,60.682,63.696,67.477,49.185
23,62.808,69.344,80.47,89.944,101.663,49.185,52.172,56.812,60.682,63.696,45.535
24,59.551,62.808,69.344,80.47,89.944,45.535,49.185,52.172,56.812,60.682,42.638
25,60.222,59.551,62.808,69.344,80.47,42.638,45.535,49.185,52.172,56.812,44.905
26,63.392,60.222,59.551,62.808,69.344,44.905,42.638,45.535,49.185,52.172,52.281
27,76.416,63.392,60.222,59.551,62.808,52.281,44.905,42.638,45.535,49.185,77.959
28,97.762,76.416,63.392,60.222,59.551,77.959,52.281,44.905,42.638,45.535,107.257
29,100.395,97.762,76.416,63.392,60.222,107.257,77.959,52.281,44.905,42.638,95
30,84.584,100.395,97.762,76.416,63.392,95,107.257,77.959,52.281,44.905,75.123
31,125.189,84.584,100.395,97.762,76.416,75.123,95,107.257,77.959,52.281,64.216
32,108.777,125.189,84.584,100.395,97.762,64.216,75.123,95,107.257,77.959,57.208
33,90.794,108.777,125.189,84.584,100.395,57.208,64.216,75.123,95,107.257,51.977
34,75.437,90.794,108.777,125.189,84.584,51.977,57.208,64.216,75.123,95,47.098
35,64.364,75.437,90.794,108.777,125.189,47.098,51.977,57.208,64.216,75.123,43.116
36,57.826,64.364,75.437,90.794,108.777,43.116,47.098,51.977,57.208,64.216,39.181
37,54.191,57.826,64.364,75.437,90.794,39.181,43.116,47.098,51.977,57.208,37.472
38,53.908,54.191,57.826,64.364,75.437,37.472,39.181,43.116,47.098,51.977,35.017
39,52.685,53.908,54.191,57.826,64.364,35.017,37.472,39.181,43.116,47.098,32.969
40,48.612,52.685,53.908,54.191,57.826,32.969,35.017,37.472,39.181,43.116,30.726
41,44.25,48.612,52.685,53.908,54.191,30.726,32.969,35.017,37.472,39.181,28.573
42,40.05,44.25,48.612,52.685,53.908,28.573,30.726,32.969,35.017,37.472,28.246
43,38.885,40.05,44.25,48.612,52.685,28.246,28.573,30.726,32.969,35.017,34.08
44,49.984,38.885,40.05,44.25,48.612,34.08,28.246,28.573,30.726,32.969,30.76
45,56.937,49.984,38.885,40.05,44.25,30.76,34.08,28.246,28.573,30.726,32.097
46,62.196,56.937,49.984,38.885,40.05,32.097,30.76,34.08,28.246,28.573,36.089
47,69.627,62.196,56.937,49.984,38.885,36.089,32.097,30.76,34.08,28.246,41.796
48,60.444,69.627,62.196,56.937,49.984,41.796,36.089,32.097,30.76,34.08,42.068
49,52.493,60.444,69.627,62.196,56.937,42.068,41.796,36.089,32.097,30.76,37.974
50,47.116,52.493,60.444,69.627,62.196,37.974,42.068,41.796,36.089,32.097,32.765
51,44.515,47.116,52.493,60.444,69.627,32.765,37.974,42.068,41.796,36.089,29.292
52,43.675,44.515,47.116,52.493,60.444,29.292,32.765,37.974,42.068,41.796,25.938
53,40.687,43.675,44.515,47.116,52.493,25.938,29.292,32.765,37.974,42.068,24.715
54,41.889,40.687,43.675,44.515,47.116,24.715,25.938,29.292,32.765,37.974,24.798
55,45.924,41.889,40.687,43.675,44.515,24.798,24.715,25.938,29.292,32.765,24.537
56,47.208,45.924,41.889,40.687,43.675,24.537,24.798,24.715,25.938,29.292,23.815
57,45.129,47.208,45.924,41.889,40.687,23.815,24.537,24.798,24.715,25.938,24.071
58,43.993,45.129,47.208,45.924,41.889,24.071,23.815,24.537,24.798,24.715,24.226
59,45.472,43.993,45.129,47.208,45.924,24.226,24.071,23.815,24.537,24.798,26.106
60,47.069,45.472,43.993,45.129,47.208,26.106,24.226,24.071,23.815,24.537,25.661
61,47.937,47.069,45.472,43.993,45.129,25.661,26.106,24.226,24.071,23.815,23.791
62,45.813,47.937,47.069,45.472,43.993,23.791,25.661,26.106,24.226,24.071,21.646
63,42.68,45.813,47.937,47.069,45.472,21.646,23.791,25.661,26.106,24.226,19.824
64,39.404,42.68,45.813,47.937,47.069,19.824,21.646,23.791,25.661,26.106,20.1
65,40.752,39.404,42.68,45.813,47.937,20.1,19.824,21.646,23.791,25.661,26.251
66,123.36,40.752,39.404,42.68,45.813,26.251,20.1,19.824,21.646,23.791,31.02
67,124.976,123.36,40.752,39.404,42.68,31.02,26.251,20.1,19.824,21.646,63.156
68,191.813,124.976,123.36,40.752,39.404,63.156,31.02,26.251,20.1,19.824,537.148
69,1338.976,191.813,124.976,123.36,40.752,537.148,63.156,31.02,26.251,20.1,608.259
70,859.222,1338.976,191.813,124.976,123.36,608.259,537.148,63.156,31.02,26.251,333.009
71,1342.111,859.222,1338.976,191.813,124.976,333.009,608.259,537.148,63.156,31.02,314.51
72,1549.98,1342.111,859.222,1338.976,191.813,314.51,333.009,608.259,537.148,63.156,339.68
73,859.719,1549.98,1342.111,859.222,1338.976,339.68,314.51,333.009,608.259,537.148,252.927
74,569.058,859.719,1549.98,1342.111,859.222,252.927,339.68,314.51,333.009,608.259,199.474
75,447.923,569.058,859.719,1549.98,1342.111,199.474,252.927,339.68,314.51,333.009,167.263
76,379.27,447.923,569.058,859.719,1549.98,167.263,199.474,252.927,339.68,314.51,241.852
77,371.702,379.27,447.923,569.058,859.719,241.852,167.263,199.474,252.927,339.68,410.523
78,368.463,371.702,379.27,447.923,569.058,410.523,241.852,167.263,199.474,252.927,295.34
79,489.712,368.463,371.702,379.27,447.923,295.34,410.523,241.852,167.263,199.474,1366.612
80,1737.737,489.712,368.463,371.702,379.27,1366.612,295.34,410.523,241.852,167.263,3841.981
81,5690.349,1737.737,489.712,368.463,371.702,3841.981,1366.612,295.34,410.523,241.852,4402.72
82,8085.315,5690.349,1737.737,489.712,368.463,4402.72,3841.981,1366.612,295.34,410.523,3810.696
83,7878.894,8085.315,5690.349,1737.737,489.712,3810.696,4402.72,3841.981,1366.612,295.34,3119.201
84,5408.644,7878.894,8085.315,5690.349,1737.737,3119.201,3810.696,4402.72,3841.981,1366.612,2107.125
85,3761.715,5408.644,7878.894,8085.315,5690.349,2107.125,3119.201,3810.696,4402.72,3841.981,1394.578
86,2727.097,3761.715,5408.644,7878.894,8085.315,1394.578,2107.125,3119.201,3810.696,4402.72,997.791
87,1985.654,2727.097,3761.715,5408.644,7878.894,997.791,1394.578,2107.125,3119.201,3810.696,764.137
88,1514.69,1985.654,2727.097,3761.715,5408.644,764.137,997.791,1394.578,2107.125,3119.201,594.746
89,1184.183,1514.69,1985.654,2727.097,3761.715,594.746,764.137,997.791,1394.578,2107.125,492.582
90,968.091,1184.183,1514.69,1985.654,2727.097,492.582,594.746,764.137,997.791,1394.578,429.484
91,819.336,968.091,1184.183,1514.69,1985.654,429.484,492.582,594.746,764.137,997.791,397.326
92,717.291,819.336,968.091,1184.183,1514.69,397.326,429.484,492.582,594.746,764.137,393.124
93,699.305,717.291,819.336,968.091,1184.183,393.124,397.326,429.484,492.582,594.746,384.348
94,684.292,699.305,717.291,819.336,968.091,384.348,393.124,397.326,429.484,492.582,340.617
95,681.832,684.292,699.305,717.291,819.336,340.617,384.348,393.124,397.326,429.484,377.457
96,1075.058,681.832,684.292,699.305,717.291,377.457,340.617,384.348,393.124,397.326,395.779
97,954.399,1075.058,681.832,684.292,699.305,395.779,377.457,340.617,384.348,393.124,333.376
98,781.445,954.399,1075.058,681.832,684.292,333.376,395.779,377.457,340.617,384.348,291.721
99,665.92,781.445,954.399,1075.058,681.832,291.721,333.376,395.779,377.457,340.617,263.881
100,607.133,665.92,781.445,954.399,1075.058,263.881,291.721,333.376,395.779,377.457,244.933
101,562.745,607.133,665.92,781.445,954.399,244.933,263.881,291.721,333.376,395.779,226.095
102,509.217,562.745,607.133,665.92,781.445,226.095,244.933,263.881,291.721,333.376,207.284
103,450.996,509.217,562.745,607.133,665.92,207.284,226.095,244.933,263.881,291.721,199.767
104,421.219,450.996,509.217,562.745,607.133,199.767,207.284,226.095,244.933,263.881,194.073
105,382.555,421.219,450.996,509.217,562.745,194.073,199.767,207.284,226.095,244.933,189.467
106,353.732,382.555,421.219,450.996,509.217,189.467,194.073,199.767,207.284,226.095,186.556
107,331.911,353.732,382.555,421.219,450.996,186.556,189.467,194.073,199.767,207.284,184.401
108,313.797,331.911,353.732,382.555,421.219,184.401,186.556,189.467,194.073,199.767,181.795
109,296.695,313.797,331.911,353.732,382.555,181.795,184.401,186.556,189.467,194.073,172.225
110,277.328,296.695,313.797,331.911,353.732,172.225,181.795,184.401,186.556,189.467,161.888
111,257.536,277.328,296.695,313.797,331.911,161.888,172.225,181.795,184.401,186.556,156.096
112,235.372,257.536,277.328,296.695,313.797,156.096,161.888,172.225,181.795,184.401,149.008
113,217.094,235.372,257.536,277.328,296.695,149.008,156.096,161.888,172.225,181.795,140.094
114,199.765,217.094,235.372,257.536,277.328,140.094,149.008,156.096,161.888,172.225,129.348
115,191.416,199.765,217.094,235.372,257.536,129.348,140.094,149.008,156.096,161.888,122.495
116,187.044,191.416,199.765,217.094,235.372,122.495,129.348,140.094,149.008,156.096,118.703
117,192.484,187.044,191.416,199.765,217.094,118.703,122.495,129.348,140.094,149.008,129.082
118,209.199,192.484,187.044,191.416,199.765,129.082,118.703,122.495,129.348,140.094,131.381
119,208.599,209.199,192.484,187.044,191.416,131.381,129.082,118.703,122.495,129.348,124.89
120,201.442,208.599,209.199,192.484,187.044,124.89,131.381,129.082,118.703,122.495,117.952
121,183.007,201.442,208.599,209.199,192.484,117.952,124.89,131.381,129.082,118.703,114.901
122,177.84,183.007,201.442,208.599,209.199,114.901,117.952,124.89,131.381,129.082,130.812
123,198.511,177.84,183.007,201.442,208.599,130.812,114.901,117.952,124.89,131.381,157.328
124,268.016,198.511,177.84,183.007,201.442,157.328,130.812,114.901,117.952,124.89,207.103
125,405.019,268.016,198.511,177.84,183.007,207.103,157.328,130.812,114.901,117.952,235.332
126,445.402,405.019,268.016,198.511,177.84,235.332,207.103,157.328,130.812,114.901,210.787
127,426.662,445.402,405.019,268.016,198.511,210.787,235.332,207.103,157.328,130.812,189.797
128,376.69,426.662,445.402,405.019,268.016,189.797,210.787,235.332,207.103,157.328,177.036
129,331.722,376.69,426.662,445.402,405.019,177.036,189.797,210.787,235.332,207.103,158.552
130,294.613,331.722,376.69,426.662,445.402,158.552,177.036,189.797,210.787,235.332,146.698
131,306.473,294.613,331.722,376.69,426.662,146.698,158.552,177.036,189.797,210.787,137.847
132,300.013,306.473,294.613,331.722,376.69,137.847,146.698,158.552,177.036,189.797,132.2
