T	Q1	Q2	Q3
1	0.08	0.10	0.10
2	0.10	0.10	0.10
3	0.10	0.10	0.10
4	0.10	0.10	0.26
5	0.10	0.26	0.97
6	0.26	0.97	0.45
7	0.97	0.45	0.15
8	0.45	0.15	0.10
9	0.15	0.10	0.08
10	0.10	0.08	0.07
11	0.08	0.07	0.06
12	0.07	0.06	0.07
13	0.06	0.07	0.07
14	0.07	0.07	0.09
15	0.07	0.09	0.10
16	0.09	0.10	0.24
17	0.10	0.24	1.00
18	0.24	1.00	0.68
19	1.00	0.68	0.27
20	0.68	0.27	0.18
21	0.27	0.18	0.15
22	0.18	0.15	0.12
23	0.15	0.12	0.12
24	0.12	0.12	0.14
25	0.12	0.14	0.13
26	0.14	0.13	0.14
27	0.13	0.14	0.12
28	0.14	0.12	0.23
29	0.12	0.23	0.31
30	0.23	0.31	0.88
31	0.31	0.88	0.34
32	0.88	0.34	0.17
33	0.34	0.17	0.13
34	0.17	0.13	0.12
35	0.13	0.12	0.10
36	0.12	0.10	0.11
37	0.10	0.11	0.10
38	0.11	0.10	0.10
39	0.10	0.10	0.09
40	0.10	0.09	0.27
41	0.09	0.27	0.21
42	0.27	0.21	0.13
43	0.21	0.13	0.24
44	0.13	0.24	0.09
45	0.24	0.09	0.07
46	0.09	0.07	0.05
47	0.07	0.05	0.05
48	0.05	0.05	0.05
49	0.05	0.05	0.05
50	0.05	0.05	0.10
51	0.05	0.10	0.21
52	0.10	0.21	0.12
53	0.21	0.12	0.08
54	0.12	0.08	0.06
55	0.08	0.06	0.07
56	0.06	0.07	0.06
57	0.07	0.06	0.04
58	0.06	0.04	0.04
59	0.04	0.04	0.04
60	0.04	0.04	0.05
61	0.04	0.05	0.05
62	0.05	0.05	0.08
63	0.05	0.08	0.21
64	0.08	0.21	0.16
65	0.21	0.16	0.10
66	0.16	0.10	0.11
67	0.10	0.11	0.08
68	0.11	0.08	0.06
69	0.08	0.06	0.04
70	0.06	0.04	0.05
71	0.04	0.05	0.03
72	0.05	0.03	0.05
73	0.03	0.05	0.06
74	0.05	0.06	0.06
75	0.06	0.06	0.05
76	0.06	0.05	0.20
77	0.05	0.20	0.27
78	0.20	0.27	0.10
79	0.27	0.10	0.07
80	0.10	0.07	0.06
81	0.07	0.06	0.04
82	0.06	0.04	0.03
83	0.04	0.03	0.04
84	0.03	0.04	0.06
85	0.04	0.06	0.11
86	0.06	0.11	0.10
87	0.11	0.10	0.12
88	0.10	0.12	0.11
89	0.12	0.11	0.49
90	0.11	0.49	0.11
91	0.49	0.11	0.11
92	0.11	0.11	0.06
93	0.11	0.06	0.05
94	0.06	0.05	0.14
95	0.05	0.14	0.09
96	0.14	0.09	0.05
97	0.09	0.05	0.06
98	0.05	0.06	0.23
99	0.06	0.23	0.36
100	0.23	0.36	0.22
101	0.36	0.22	0.17
102	0.22	0.17	0.17
103	0.17	0.17	0.10
104	0.17	0.10	0.07
105	0.10	0.07	0.06
106	0.07	0.06	0.06
107	0.06	0.06	0.05
108	0.06	0.05	0.06
109	0.05	0.06	0.06
110	0.06	0.06	0.07
111	0.06	0.07	0.06
112	0.07	0.06	0.07
113	0.06	0.07	0.00
114	0.07	0.00	0.06
115	0.00	0.06	0.06
116	0.06	0.06	0.05
