N,212250_COXS,212260_KOWMUNG
1,340.8,355.294
2,288.734,271.145
3,259.192,226.186
4,235.496,194.995
5,220.188,173.59
6,194.351,152.432
7,174.615,129.349
8,170.428,110.649
9,167.237,99.621
10,157.458,91.982
11,143.588,85.225
12,139.744,82.576
13,138.007,82.614
14,128.446,85.8
15,118.209,82.469
16,108.747,75.02
17,105.554,70.997
18,107.075,67.477
19,101.663,63.696
20,89.944,60.682
21,80.47,56.812
22,69.344,52.172
23,62.808,49.185
24,59.551,45.535
25,60.222,42.638
26,63.392,44.905
27,76.416,52.281
28,97.762,77.959
29,100.395,107.257
30,84.584,95
31,125.189,75.123
32,108.777,64.216
33,90.794,57.208
34,75.437,51.977
35,64.364,47.098
36,57.826,43.116
37,54.191,39.181
38,53.908,37.472
39,52.685,35.017
40,48.612,32.969
41,44.25,30.726
42,40.05,28.573
43,38.885,28.246
44,49.984,34.08
45,56.937,30.76
46,62.196,32.097
47,69.627,36.089
48,60.444,41.796
49,52.493,42.068
50,47.116,37.974
51,44.515,32.765
52,43.675,29.292
53,40.687,25.938
54,41.889,24.715
55,45.924,24.798
56,47.208,24.537
57,45.129,23.815
58,43.993,24.071
59,45.472,24.226
60,47.069,26.106
61,47.937,25.661
62,45.813,23.791
63,42.68,21.646
64,39.404,19.824
65,40.752,20.1
66,123.36,26.251
67,124.976,31.02
68,191.813,63.156
69,1338.976,537.148
70,859.222,608.259
71,1342.111,333.009
72,1549.98,314.51
73,859.719,339.68
74,569.058,252.927
75,447.923,199.474
76,379.27,167.263
77,371.702,241.852
78,368.463,410.523
79,489.712,295.34
80,1737.737,1366.612
81,5690.349,3841.981
82,8085.315,4402.72
83,7878.894,3810.696
84,5408.644,3119.201
85,3761.715,2107.125
86,2727.097,1394.578
87,1985.654,997.791
88,1514.69,764.137
89,1184.183,594.746
90,968.091,492.582
91,819.336,429.484
92,717.291,397.326
93,699.305,393.124
94,684.292,384.348
95,681.832,340.617
96,1075.058,377.457
97,954.399,395.779
98,781.445,333.376
99,665.92,291.721
100,607.133,263.881
101,562.745,244.933
102,509.217,226.095
103,450.996,207.284
104,421.219,199.767
105,382.555,194.073
106,353.732,189.467
107,331.911,186.556
108,313.797,184.401
109,296.695,181.795
110,277.328,172.225
111,257.536,161.888
112,235.372,156.096
113,217.094,149.008
114,199.765,140.094
115,191.416,129.348
116,187.044,122.495
117,192.484,118.703
118,209.199,129.082
119,208.599,131.381
120,201.442,124.89
121,183.007,117.952
122,177.84,114.901
123,198.511,130.812
124,268.016,157.328
125,405.019,207.103
126,445.402,235.332
127,426.662,210.787
128,376.69,189.797
129,331.722,177.036
130,294.613,158.552
131,306.473,146.698
132,300.013,137.847
133,281.957,132.2
134,265.141,127.557
135,249.709,123.956
136,236.984,121.241
137,226.388,118.668
138,216.374,115.116
139,209.038,109.64
140,200.229,104.715
141,192.148,100.022
142,186.165,95.449
143,180.145,91.509
144,173.938,91.267
145,168.586,92.809
146,163.995,97.102
147,159.301,101.453
148,158.133,102.825
