T,Coxs I,Qki,Qki-1,Qki+1
1,288.734,271.145,355.294,226.186
2,259.192,226.186,271.145,194.995
3,235.496,194.995,226.186,173.59
4,220.188,173.59,194.995,152.432
5,194.351,152.432,173.59,129.349
6,174.615,129.349,152.432,110.649
7,170.428,110.649,129.349,99.621
8,167.237,99.621,110.649,91.982
9,157.458,91.982,99.621,85.225
10,143.588,85.225,91.982,82.576
11,139.744,82.576,85.225,82.614
12,138.007,82.614,82.576,85.8
13,128.446,85.8,82.614,82.469
14,118.209,82.469,85.8,75.02
15,108.747,75.02,82.469,70.997
16,105.554,70.997,75.02,67.477
17,107.075,67.477,70.997,63.696
18,101.663,63.696,67.477,60.682
19,89.944,60.682,63.696,56.812
20,80.47,56.812,60.682,52.172
21,69.344,52.172,56.812,49.185
22,62.808,49.185,52.172,45.535
23,59.551,45.535,49.185,42.638
24,60.222,42.638,45.535,44.905
25,63.392,44.905,42.638,52.281
26,76.416,52.281,44.905,77.959
27,97.762,77.959,52.281,107.257
28,100.395,107.257,77.959,95
29,84.584,95,107.257,75.123
30,125.189,75.123,95,64.216
31,108.777,64.216,75.123,57.208
32,90.794,57.208,64.216,51.977
33,75.437,51.977,57.208,47.098
34,64.364,47.098,51.977,43.116
35,57.826,43.116,47.098,39.181
36,54.191,39.181,43.116,37.472
37,53.908,37.472,39.181,35.017
38,52.685,35.017,37.472,32.969
39,48.612,32.969,35.017,30.726
40,44.25,30.726,32.969,28.573
41,40.05,28.573,30.726,28.246
42,38.885,28.246,28.573,34.08
43,49.984,34.08,28.246,30.76
44,56.937,30.76,34.08,32.097
45,62.196,32.097,30.76,36.089
46,69.627,36.089,32.097,41.796
47,60.444,41.796,36.089,42.068
48,52.493,42.068,41.796,37.974
49,47.116,37.974,42.068,32.765
50,44.515,32.765,37.974,29.292
51,43.675,29.292,32.765,25.938
52,40.687,25.938,29.292,24.715
53,41.889,24.715,25.938,24.798
54,45.924,24.798,24.715,24.537
55,47.208,24.537,24.798,23.815
56,45.129,23.815,24.537,24.071
57,43.993,24.071,23.815,24.226
58,45.472,24.226,24.071,26.106
59,47.069,26.106,24.226,25.661
60,47.937,25.661,26.106,23.791
61,45.813,23.791,25.661,21.646
62,42.68,21.646,23.791,19.824
63,39.404,19.824,21.646,20.1
64,40.752,20.1,19.824,26.251
65,123.36,26.251,20.1,31.02
66,124.976,31.02,26.251,63.156
67,191.813,63.156,31.02,537.148
68,1338.976,537.148,63.156,608.259
69,859.222,608.259,537.148,333.009
70,1342.111,333.009,608.259,314.51
71,1549.98,314.51,333.009,339.68
72,859.719,339.68,314.51,252.927
73,569.058,252.927,339.68,199.474
74,447.923,199.474,252.927,167.263
75,379.27,167.263,199.474,241.852
76,371.702,241.852,167.263,410.523
77,368.463,410.523,241.852,295.34
78,489.712,295.34,410.523,1366.612
79,1737.737,1366.612,295.34,3841.981
80,5690.349,3841.981,1366.612,4402.72
81,8085.315,4402.72,3841.981,3810.696
82,7878.894,3810.696,4402.72,3119.201
83,5408.644,3119.201,3810.696,2107.125
84,3761.715,2107.125,3119.201,1394.578
85,2727.097,1394.578,2107.125,997.791
86,1985.654,997.791,1394.578,764.137
87,1514.69,764.137,997.791,594.746
88,1184.183,594.746,764.137,492.582
89,968.091,492.582,594.746,429.484
90,819.336,429.484,492.582,397.326
91,717.291,397.326,429.484,393.124
92,699.305,393.124,397.326,384.348
93,684.292,384.348,393.124,340.617
94,681.832,340.617,384.348,377.457
95,1075.058,377.457,340.617,395.779
96,954.399,395.779,377.457,333.376
97,781.445,333.376,395.779,291.721
98,665.92,291.721,333.376,263.881
99,607.133,263.881,291.721,244.933
100,562.745,244.933,263.881,226.095
101,509.217,226.095,244.933,207.284
102,450.996,207.284,226.095,199.767
103,421.219,199.767,207.284,194.073
104,382.555,194.073,199.767,189.467
105,353.732,189.467,194.073,186.556
106,331.911,186.556,189.467,184.401
107,313.797,184.401,186.556,181.795
108,296.695,181.795,184.401,172.225
109,277.328,172.225,181.795,161.888
110,257.536,161.888,172.225,156.096
111,235.372,156.096,161.888,149.008
112,217.094,149.008,156.096,140.094
113,199.765,140.094,149.008,129.348
114,191.416,129.348,140.094,122.495
115,187.044,122.495,129.348,118.703
116,192.484,118.703,122.495,129.082
117,209.199,129.082,118.703,131.381
118,208.599,131.381,129.082,124.89
119,201.442,124.89,131.381,117.952
120,183.007,117.952,124.89,114.901
121,177.84,114.901,117.952,130.812
122,198.511,130.812,114.901,157.328
123,268.016,157.328,130.812,207.103
124,405.019,207.103,157.328,235.332
125,445.402,235.332,207.103,210.787
126,426.662,210.787,235.332,189.797
127,376.69,189.797,210.787,177.036
128,331.722,177.036,189.797,158.552
129,294.613,158.552,177.036,146.698
130,306.473,146.698,158.552,137.847
131,300.013,137.847,146.698,132.2
132,281.957,132.2,137.847,127.557
133,265.141,127.557,132.2,123.956
134,249.709,123.956,127.557,121.241
135,236.984,121.241,123.956,118.668
136,226.388,118.668,121.241,115.116
137,216.374,115.116,118.668,109.64
138,209.038,109.64,115.116,104.715
139,200.229,104.715,109.64,100.022
140,192.148,100.022,104.715,95.449
141,186.165,95.449,100.022,91.509
142,180.145,91.509,95.449,91.267
143,173.938,91.267,91.509,92.809
144,168.586,92.809,91.267,97.102
145,163.995,97.102,92.809,101.453
146,159.301,101.453,97.102,102.825
147,158.133,102.825,101.453,104.119
148,156.453,104.119,102.825,105.632
149,156.723,105.632,104.119,110.257
150,155.59,110.257,105.632,114.472
151,154.322,114.472,110.257,119.922
152,149.397,119.922,114.472,121.787
153,144.53,121.787,119.922,120.529
154,137.68,120.529,121.787,117.924
155,130.008,117.924,120.529,114.404
156,125.214,114.404,117.924,111.221
157,123.529,111.221,114.404,113.939
158,121.231,113.939,111.221,121.464
159,120.844,121.464,113.939,125.736
160,120.38,125.736,121.464,122.9
161,118.561,122.9,125.736,117.279
162,116.82,117.279,122.9,108.036
163,114.82,108.036,117.279,97.609
164,114.627,97.609,108.036,97.88
165,114.534,97.88,97.609,96.57
166,113.206,96.57,97.88,95.874
167,111.265,95.874,96.57,93.536
168,109.904,93.536,95.874,89.898
169,107.853,89.898,93.536,88.961
170,116.845,88.961,89.898,88.943
171,134.75,88.943,88.961,96.554
172,133.423,96.554,88.943,101.658
173,140.977,101.658,96.554,119.548
174,150.12,119.548,101.658,155.657
175,143.589,155.657,119.548,158.877
176,139.022,158.877,155.657,138.768
177,130.953,138.768,158.877,126.736
178,123.057,126.736,138.768,121.626
179,130.213,121.626,126.736,131.018
180,147.693,131.018,121.626,167.042
181,161.813,167.042,131.018,280.745
182,207.893,280.745,167.042,451.437
183,203.47,451.437,280.745,373.36
184,197.244,373.36,451.437,342.609
185,194.335,342.609,373.36,314.635
186,216.097,314.635,342.609,294.078
187,249.905,294.078,314.635,266.788
188,253.269,266.788,294.078,278.867
189,247.791,278.867,266.788,248.427
190,241.379,248.427,278.867,227.983
191,236.154,227.983,248.427,212.039
192,223.698,212.039,227.983,196.539
193,216.072,196.539,212.039,183.423
194,206.625,183.423,196.539,172.681
195,197.651,172.681,183.423,163.696
196,192.379,163.696,172.681,155.71
197,185.333,155.71,163.696,150.629
198,180.802,150.629,155.71,153.69
199,177.609,153.69,150.629,146.97
200,173.634,146.97,153.69,149.197
201,186.389,149.197,146.97,204.641
202,190.275,204.641,149.197,177.12
203,188.17,177.12,204.641,166.35
204,167.678,166.35,177.12,150.993
205,153.086,150.993,166.35,140.646
206,141.867,140.646,150.993,144.904
