Forage (année 2011) ;CE (μs/cm) ;T (°C);Ca++ (mg/l);Mg++ (mg/l);K+ (mg/l);NA+ (mg/l);HCO3- (mg/l);Cl- (mg/l)
1;0.311688500111837;0.633956043956044;0.268302811627749;0.638896124309516;0.0579207920792079;0.126432532347505;0.70981219463803;0.102679245283019
2;0.275556616833616;0.715384615384615;0.385384858180828;0.348421430816904;0.0579207920792079;0.106469500924214;0.712602304010317;0.0689716981132076
3;0.371373300527751;0.697252747252747;0.614313122373576;0.536232990524094;0.0534653465346535;0.0465804066543438;0.787935257062077;0.0537735849056604
4;0.259484702482786;0.702197802197802;0.424932076569356;0.388031616293169;0.00891089108910892;0.0565619223659889;0.701441866521168;0.039622641509434
5;0.380704151276455;0.702197802197802;0.469492322640937;0.0512103112228859;0.0534653465346535;0.143068391866913;0.787935257062077;0.0877358490566038
6;0.381634515986676;0.708791208791209;0.48620241491778;0.347613059684735;0.0222772277227723;0.212939001848429;0.592627601001959;0.141509433962264
7;0.131812548739867;0.682417582417582;0.224410969247241;0.361085911887547;0.142574257425743;0.0365988909426987;0.447541913643015;0.0537735849056604
8;0.189195920662076;0.695604395604396;0.39151189201567;0.320667355279113;0.098019801980198;0.0066543438077634;0.44196169489844;0.183962264150943
9;0.429833936851269;0.705494505494505;0.625453183891471;0.313930929177707;0.142574257425743;0.182994454713494;0.617738585352546;0.404716981132076
10;0.378549622473839;0.723626373626374;0.358091707461985;0.455395877307226;0.142574257425743;0.276155268022181;0.369418851218968;0.25188679245283
11;0.360616978702567;0.715384615384615;0.402651953533566;0.374558764090358;0.276237623762376;0.229574861367837;0.455912241759877;0.209433962264151
12;0.144005223100128;0.703846153846154;0.296821369113561;0.226357389859433;0.142574257425743;0.0365988909426987;0.45312213238759;0.0509433962264151
13;0.535628918080752;0.646153846153846;0.759133922106214;0.603597251538151;0.40990099009901;0.442513863216266;0.751663835222341;0.25188679245283
14;0.427325760644182;0.662637362637363;0.58089293781989;0.441923025104415;0.187128712871287;0.236229205175601;0.603788038491109;0.220754716981132
15;0.477532810620304;0.642857142857143;0.608743091614628;0.49581443391566;0.187128712871287;0.256192236598891;0.617738585352546;0.266037735849057
16;0.25087746873092;0.679120879120879;0.447212199605147;0.361085911887547;0.142574257425743;0.0632162661737523;0.573096835395947;0.0849056603773585
17;0.39720044251265;0.675824175824176;0.625453183891471;0.522760138321283;0.142574257425743;0.126432532347505;0.612158366607971;0.229245283018868
1;0.360655063807664;0.715384615384615;0.456235649434642;0.423465217586563;0.0311881188118812;0.156210720887246;0.684701210287443;0.115924528301887
2;0.325464426698263;0.63956043956044;0.451389722674358;0.334005478959896;0.0155940594059406;0.151719038817006;0.729342960244042;0.113122641509434
3;0.375682358132983;0.636263736263736;0.424932076569356;0.226357389859433;0.00891089108910892;0.31275415896488;0.740503397733191;0.0622641509433962
4;0.268521753849316;0.62967032967033;0.266631802400064;0.53650244756815;0.0356435643564357;0.0598890942698706;0.790725366434364;0.0284150943396226
5;0.426607584376644;0.632967032967033;0.514052568712518;0.401504468495981;0.0534653465346535;0.166358595194085;0.804675913295801;0.0849056603773585
6;0.340236006746504;0.698901098901099;0.453005031594452;0.0900121255669825;0.118960396039604;0.286136783733826;0.687491319659731;0.0667924528301887
7;0.159788778798082;0.596703296703297;0.307961430631456;0.239830242062245;0.142574257425743;0.0565619223659889;0.425221038664716;0.0735849056603774
8;0.24442476378167;0.616483516483516;0.436072138087252;0.361085911887547;0.098019801980198;0.0365988909426987;0.514504538577912;0.127358490566038
9;0.141856135026811;0.6;0.257831153800927;0.29372165087349;0.142574257425743;0;0.58146716351281;0
10;0.441955881730636;0.632967032967033;0.328570544439562;0.479647011272286;0.227227722772277;0.419223659889094;0.341517757496094;0.342452830188679
11;0.339104335052201;0.598351648351648;0.475062353399885;0.280248798670679;0.231683168316832;0.19630314232902;0.467072679249027;0.274528301886792
12;0.173412364964121;0.60989010989011;0.313531461390403;0.185938833250999;0.142574257425743;0.0432532347504621;0.428011148037003;0.0509433962264151
13;0.9;0.712087912087912;0.498456482587465;0.239830242062245;0.106930693069307;0.109796672828096;0.450332023015302;0.291509433962264
14;0.444534787418616;0;0.564182845543047;0.428450172901603;0.142574257425743;0.239556377079482;0.575886944768235;0.234905660377358
15;0.443103875612838;0;0.514052568712518;0.266775946467867;0.0534653465346535;0.199630314232902;0.868848428858411;0.0849056603773585
16;0.4165639980897;0;0.586462968578838;0.414977320698792;0.142574257425743;0.229574861367837;0.628899022841695;0.186792452830189
17;0.356318802555934;0;0.653303337686209;0.226357389859433;0.142574257425743;0.17634011090573;0.514504538577912;0.172641509433962
1;0.211154704115005;0.601648351648352;0.198955928678851;0.360681726321462;0.049009900990099;0.139741219963031;0.394529835569554;0.131971698113208
2;0.269479322206034;0.652747252747253;0.215554620340515;0.475605155611443;0.0579207920792079;0.17634011090573;0.670750663426006;0.169698113207547
3;0.347706128074768;0.672527472527472;0.475953558321317;0.399752997709615;0.0993564356435644;0.249537892791127;0.433591366781578;0.158971698113208
4;0.29369600831827;0.679120879120879;0.450777019290873;0.406354695288993;0.0129207920792079;0.0597227356746765;0.785145147689789;0.0479150943396226
5;0.320605855433777;0.637912087912088;0.415685825509503;0.502685588539094;0.0668316831683168;0.139741219963031;0.469862788621314;0.206235849056604
6;0.222335402825552;0.609230769230769;0.508482537953571;0.414977320698792;0.0534653465346535;0.0865064695009242;0.787935257062077;0.0481132075471698
7;0.189195920662076;0.649450549450549;0.324671522908299;0.226357389859433;0.098019801980198;0.0565619223659889;0.425221038664716;0.0537735849056604
8;0.14350467600457;0.715384615384615;0.466484506031106;0.0120043113127049;0.124752475247525;0.0266173752310536;0.246654038838322;0.150311320754717
9;0.116317351694787;0.725274725274725;0.217726932336504;0.288332509992365;0.147029702970297;0.0169685767097967;0.447541913643015;0.0566037735849057
10;0.474660105550148;0.665934065934066;0.397081922774618;0.509287286118471;0.320792079207921;0.402587800369686;0.355468304357531;0.294339622641509
11;0.557147002460419;0.614835164835165;0.619883153132524;0.657488660349396;0.231683168316832;0.219593345656192;0.8269967882741;0.359433962264151
12;0.143183672975898;0.604945054945055;0.311303449086824;0.26084789149863;0.138118811881188;0.0266173752310536;0.467072679249027;0.0621509433962264
13;0.303663424395021;0.712087912087912;0.447323600220326;0.507805272376162;0.209405940594059;0.0964879852125693;0.539615522928499;0.274896226415094
14;0.406155882939687;0.718681318681319;0.505530421651328;0.450949836080298;0.196039603960396;0.226247689463956;0.556356179162223;0.25361320754717
15;0.4165639980897;0.695604395604396;0.608743091614628;0.49581443391566;0.187128712871287;0.256192236598891;0.575886944768235;0.268160377358491
16;0.397124272302456;0.718681318681319;0.45746105620161;0.647384021197288;0.196039603960396;0.199630314232902;0.514504538577912;0.212660377358491
17;0.315633028854001;0.600989010989011;0.439525557157799;0.443405038846724;0.173762376237624;0.159704251386322;0.497763882344188;0.193811320754717
1;0.382749865493081;0.626373626373626;0.41713403350683;0.411609107648089;0.343069306930693;0.197966728280961;0.705124810892587;0.188207547169811
2;0.396357129471221;0.632967032967033;0.331355559819036;0.356774599182647;0.432178217821782;0.389279112754159;0.534928139183056;0.289330188679245
3;0.409393116872911;0.695604395604396;0.463031086960558;0.3622984685858;0.176435643564356;0.152617375231054;0.587465898663228;0.148358490566038
4;0.15465817106862;0.685714285714286;0.269361117471949;0.307733417164414;0.0311881188118812;0.0465804066543438;0.355189293420302;0.0914433962264151
5;0.332825733440536;0.682417582417582;0.46498059772619;0.289140881124534;0.0427722772277228;0.171981515711645;0.599602874432678;0.201028301886792
6;0.314713545602379;0.63956043956044;0.133675168183984;0.749104055328513;0.0534653465346535;0.0632162661737523;0.592795007564297;0.119547169811321
7;0.138569934529891;0.679120879120879;0.317207681691309;0.231207616652445;0.12029702970297;0.0399260628465804;0.335798033282905;0.0717735849056604
8;0.253423730043103;0.646153846153846;0.488096225375822;0.311775272825257;0.130544554455446;0.0463142329020333;0.502590771558245;0.188179245283019
9;0.130376196204789;0.672527472527472;0.202130846211451;0.280248798670679;0.187128712871287;0.0133086876155268;0.472652897993601;0.0169811320754717
10;0.480400074961159;0.652747252747253;0.441642168846199;0.428450172901603;0.187128712871287;0.399260628465804;0.341517757496094;0.404716981132076
11;0.479208555244561;0.702197802197802;0.5628460381609;0.561023038577267;0.245049504950495;0.222920517560074;0.694913010590015;0.407745283018868
12;0.165964006553056;0.685714285714286;0.311303449086824;0.233228544482867;0.151039603960396;0.052735674676525;0.437916036308623;0.0400754716981132
13;0.381971841203248;0.682417582417582;0.584012155044901;0.381834104279876;0.190247524752475;0.143334565619224;0.657469742813918;0.259641509433962
14;0.480084512661786;0.637912087912088;0.621721263282976;0.468060358377869;0.135891089108911;0.261948243992606;0.603006807866868;0.301783018867925
15;0.453142021170482;0.679120879120879;0.468044114643611;0.473180042214937;0.196039603960396;0.162033271719039;0.598207819746534;0.162735849056604
16;0.430193024985038;0.646153846153846;0.5639043440051;0.427372344725378;0.15460396039604;0.236894639556377;0.616622541603631;0.216679245283019
17;0.296715613079513;0.698901098901099;0.480855185389191;0.139322764629272;0.155495049504951;0.188085027726433;0.3279857270405;0.160896226415094
1;0.352026067138599;0.721978021978022;0.471497533714159;0.393191718686846;0.0178217821782178;0.121940850277264;0.769799546142209;0.0790018867924528
2;0.3461500794951;0.657692307692308;0.462568774407565;0.389257645843625;0.0231683168316832;0.185123844731978;0.680507675900895;0.155266981132075
3;0.373527829330367;0.751648351648352;0.831544321972534;0.428450172901603;0.9;0.209611829944547;0.567516616651373;0.039622641509434
4;0.360187161087904;0.9;0.493777656749949;0.26731486055598;0.432178217821782;0.211275415896488;0.809502802509858;0.154245283018868
5;0.170039112798409;0.693956043956044;0.212491103423093;0.222719719764674;0.0579207920792079;0.13641404805915;0.310268532526475;0.121132075471698
6;0.326857253398944;0.817582417582418;0.443368878381473;0.481667939102708;0.0405445544554456;0.0975194085027727;0.766395612708018;0.125575471698113
7;0.169478717680557;0.621428571428572;0.310857846626109;0.24158171284861;0.161287128712871;0.066177449168207;0.424300302571861;0.0902264150943396
8;0.25098628331691;0.774725274725275;0.298715179571603;0.682278708402569;0.138118811881188;0.0499075785582255;0.427704236006051;0.247584905660377
9;0.136834341883339;0.731868131868132;0.296821369113561;0.226357389859433;0.142574257425743;0.0465804066543438;0.467072679249027;0.0311320754716981
10;0.9;0.745054945054945;0.848254414249377;0.684434364755019;0.632673267326733;0.648798521256932;0.388949616824979;0.857547169811321
11;0.49553074314317;0.698901098901099;0.576047011059606;0.523299052409395;0.190693069306931;0.355974121996303;0.407280635400908;0.436641509433962
12;0.153820298756491;0.697252747252747;0.190433781617661;0.523972695019536;0.133663366336634;0.0465804066543438;0.327288199697428;0.158462264150943
13;0.291802634522032;0.774725274725275;0.311470550009593;0.659509588179818;0.204950495049505;0.143068391866913;0.325586232980333;0.315820754716981
14;0.354887890750156;0.652747252747253;0.365388447756206;0.384798131764495;0.173762376237624;0.246210720887246;0.393469594008085;0.301754716981132
15;0.425497675599538;0.754945054945055;0.623726474356197;0.464018502717025;0.213861386138614;0.208946395563771;0.561489980407232;0.259075471698113
16;0.363239410224944;0.616483516483516;0.453617734977937;0.340068262451161;0.20049504950495;0.216266173752311;0.388559001512859;0.237537735849057
17;0.242085250182869;0.708791208791209;0.246245489822316;0.347478331162707;0.16039603960396;0.17634011090573;0.349413767019667;0.140377358490566
1;0.434240927583893;0.626373626373626;0.610804002995439;0.522935285399919;0.045;0.144365988909427;0.66768154311649;0.263646226415094
2;0.361275306947811;0.632967032967033;0.466139164124051;0.355184802622715;0.0637128712871287;0.226014787430684;0.565563540090771;0.074988679245283
3;0.367075124381117;0.689010989010989;0.837114352731481;0.9;0.810891089108911;0.0432532347504621;0.319196882517795;0.766981132075472
4;0.22729190721743;0.685714285714286;0.475340854937832;0.159895809942965;0.00222772277227724;0.0449833641404806;0.795329046898638;0.0581292452830189
5;0.342265398775231;0.682417582417582;0.372573787435248;0.358795527013069;0.40990099009901;0.326062846580407;0.625132375189107;0.227518867924528
6;0.340236006746504;0.63956043956044;0.453005031594452;0.0900121255669825;0.118960396039604;0.28716820702403;0.766395612708018;0.125575471698113
7;0.114320604041857;0.675824175824176;0.154117181069322;0.246701396685678;0.218316831683168;0.066543438077634;0.276229198184569;0.103075471698113
8;0.298304306034978;0.646153846153846;0.480688084466422;0.366609781290699;0.744059405940594;0.148059149722736;0.538332072617247;0.183339622641509
9;0.0999298750445838;0.672527472527472;0.277827564225549;0.208303767907666;0.155940594059406;0.0133086876155268;0.30856656580938;0.0151698113207547
10;0.471879892878085;0.652747252747253;0.412900810130029;0.536771904612206;0.240594059405941;0.405914972273567;0.344307866868381;0.315
11;0.513398098162847;0.695604395604396;0.253765031346895;0.321475726411281;0.142574257425743;0.658780036968577;0.351785359986111;0.571896226415094
12;0.245643487144766;0.685714285714286;0.304229510022961;0.257210221403871;0.432178217821782;0.17634011090573;0.460041603630862;0.191377358490566
13;0.464094209250449;0.682417582417582;0.50959654410536;0.40298648223829;0.521287128712871;0.392606284658041;0.676191376701967;0.372
14;0.396319044366125;0.63956043956044;0.41713403350683;0.394498585350519;0.476732673267327;0.364158964879852;0.60981467473525;0.279679245283019
15;0.421036277573918;0.679120879120879;0.463031086960558;0.367687609466924;0.176435643564356;0.152617375231054;0.587465898663228;0.105905660377359
16;0.472102962779366;0.646153846153846;0.535330086211698;0.416189877397045;0.588118811881188;0.306099815157116;0.589391074130106;0.187358490566038
17;0.441487979010875;0.698901098901099;0.449607312831494;0.352732743521804;0.521287128712871;0.218761552680222;0.540034039334342;0.247584905660377
1;0.30461011129314;0.63956043956044;0.358982912383416;0.34207571742938;0.036980198019802;0.161401109057301;0.654065809379728;0.0990707547169811
2;0.35014901553026;0.679120879120879;0.448281645510865;0.335514438406611;0.0494554455445545;0.220059149722736;0.628536308623298;0.139211320754717
3;0.345557040001451;0.646153846153846;0.852821839471713;0.85001571832757;0.766336633663366;0.17634011090573;0.344307866868381;0.9
4;0.271307407250679;0.672527472527472;0.470606328792727;0.346009790272601;0.00966831683168317;0.0603216266173752;0.739164145234493;0.038861320754717
5;0.295970233165477;0.652747252747253;0.403632278947141;0.332900705079265;0.0354653465346535;0.130524953789279;0.591093040847201;0.0990707547169811
6;0.160365496103833;0.692307692307692;0.213326608036935;0.391938743431985;0.0534653465346535;0.0865064695009242;0.3375;0.11872641509434
7;0.186856407063276;0.685714285714286;0.185420753934608;0.227974132123771;0.365346534653465;0.199630314232902;0.392325649165447;0.0789905660377358
8;0.340605976338873;0.682417582417582;0.559013856998744;0.657933264472089;0.101138613861386;0.0823142329020333;0.63874810892587;0.239561320754717
9;0.143912730702035;0.63956043956044;0.315926574616751;0.193079444918489;0.135891089108911;0.0248539741219963;0.478763237518911;0.00764150943396227
10;0.518833386733084;0.679120879120879;0.449161710370778;0.521143396056945;0.220544554455446;0.447637707948244;0.344307866868381;0.315820754716981
11;0.736228607354657;0.646153846153846;0.408221984292513;0.371998922171824;0.521287128712871;0.9;0.407280635400908;0.753339622641509
12;0.159059721071945;0.689010989010989;0.281292123357615;0.279157497642251;0.0886633663366337;0.0242550831792976;0.480465204236006;0.0509037735849057
13;0.206693306089385;0.626373626373626;0.413012210745208;0.107526833430637;0.163069306930693;0.170650646950092;0.487161466729496;0.275688679245283
14;0.50139584932807;0.632967032967033;0.595625669177307;0.538671576772803;0.142618811881188;0.233035120147874;0.66768154311649;0.278898113207547
15;0.204974035630732;0.692307692307692;0.380371830497775;0.307194503076301;0.098019801980198;0.0266173752310536;0.651219897819994;0.0254716981132075
16;0.0404137372369559;0.685714285714286;0.0133959239752691;0;0.124752475247525;0.209977818853974;0.0362518910741301;0.282914150943396
17;0;0.682417582417582;0;0.00654780617056631;0.108267326732673;0.142635859519409;0;0.195407547169811
1;0.328277283746123;0.652747252747253;0.463911151820472;0.355184802622715;0.0540445544554455;0.139275415896488;0.657469742813918;0.0940556603773585
2;0.382972935394362;0.665934065934066;0.472839911127065;0.394498585350519;0.0564950495049505;0.227578558225508;0.574073373676248;0.150752830188679
3;0.331209836838573;0.685714285714286;0.831432921357355;0.502416131495037;0.741831683168317;0.0548983364140481;0.310268532526475;0.282
4;0.27140534037807;0.682417582417582;0.443814480842189;0.348623523599946;0.0294950495049505;0.0549648798521257;0.745291225416036;0.0493981132075472
5;0.325714700246042;0.63956043956044;0.495164594408927;0.374841693986617;0.0422821782178218;0.107068391866913;0.682999243570348;0.101581132075472
6;0.383087190709652;0.679120879120879;0.508148336108034;0.291027080432928;0.320792079207921;0.187985212569316;0.788521180030257;0.0709528301886792
7;0.191704096869163;0.646153846153846;0.325941489921339;0.256886872951004;0.0868811881188119;0.0589574861367837;0.523014372163389;0.074988679245283
